SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
ADM4DG;Adonit Mini 4 (Grey);Adonit;in stock;57;20,86;39,99;8,48E+11;0,01;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601503951/uploads/624cebf8/products/27/images/j30tuhmq5cjunavnqnmt.progressive_1580858275_1601503950.jpg
ADM4RB;Adonit Mini 4 (Blue);Adonit;in stock;54;20,86;39,99;8,48E+11;0,01;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601503945/uploads/624cebf8/products/30/images/d9blski9ehvgjcshmorw.progressive_1580858256_1601503944.jpg
ADMB;Adonit Mark (Black);Adonit;in stock;241;15,65;29,99;8,48E+11;0,01;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601503965/uploads/624cebf8/products/31/images/ADMB_a_1601503964.jpg
ADMS;Adonit Mark (Silver);Adonit;in stock;96;15,65;29,99;8,48E+11;0,01;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601503975/uploads/624cebf8/products/32/images/ADMS_a_1587262474_1601503974.jpg
DISC T;Adonit Replacement Disc Pack (3 Pack);Adonit;in stock;14;13,04;24,99;8,48E+11;0;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/44/images/open-uri20180602-10919-13a7tbr.jpg
ADNB;Adonit Note (Black);Adonit;in stock;28;52,17;99,99;8,48E+11;0;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1220/images/ADNB_1.jpg
ADNG;Adonit Note (Gold);Adonit;in stock;28;52,17;99,99;8,48E+11;0;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1221/images/ADNG_1.jpg
ADP4B;Adonit Pro 4 (Black);Adonit;in stock;68;31,3;59,99;8,48E+11;0;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987445/uploads/624cebf8/products/1408/images/ADP4B_1_1576539712_1597987445.jpg
ADP4S;Adonit Pro 4 (Silver);Adonit;in stock;67;31,3;59,99;8,48E+11;0;12,065;5,715;13,97;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987462/uploads/624cebf8/products/1410/images/ADP4S_1_1576539741_1597987462.jpg
ADNT;Adonit Note Replacement Tips (x3 pack);Adonit;in stock;11;13,56;25,99;8,48E+11;0;5,0038;6,1976;2,0066;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1567461700/uploads/624cebf8/products/1411/images/ADNT_spare_tip_for_Note.jpg
ADNSB;Adonit Note+;Adonit;in stock;84;78,26;149,99;8,48E+11;0;19,1;5,6388;2,4384;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601457021/uploads/624cebf8/products/1575/images/ADNSB_1_1571873660_1601457021.jpg
ADNBCF;Adonit Note Clip-Free;Adonit;in stock;19;52,17;99,99;8,48E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1607892508/uploads/624cebf8/products/2711/images/ADNSB_1_1597720125_1607892507.jpg
ADNM;Adonit Note M;Adonit;in stock;16;83,47;159,99;8,48E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1607892521/uploads/624cebf8/products/2779/images/ADNM_01_1601335181_1607892521.jpg
ADIM;Adonit Ink M ;Adonit;in stock;19;83,47;159,99;8,48E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1607892535/uploads/624cebf8/products/2784/images/cghfcwqd5xaotl8l67ob_1607892534.jpg
AD15WCC;Adonit 15W Wireless Car Charger;Adonit;in stock;319;52,17;99,99;8,48E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1611526720/uploads/624cebf8/products/3084/images/AD15WCC_1_1608683326_1611526719.jpg
ELK-05011-R;Bonelk USB-C to HDMI Long Life Cable (Black/Space Grey) - 2.5 m;Bonelk;out of stock;0;33,47;69,99;9,35E+12;0;19,3;12,7;4,2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1587532843/uploads/624cebf8/products/1622/images/ELK-05011-R_ELK-05011-R_USB-C_to_HDMI_Cable_-_Space_Grey_Hero_copy_1580617843_1587532842.jpg
ELK-05016-R;Bonelk Mini Display Port to HDMI Long Life Cable (Black) - 1.5 m;Bonelk;out of stock;0;28,69;59,99;9,35E+12;0;19,3;12,7;3;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1587534362/uploads/624cebf8/products/1623/images/ELK-05016-R_ELK-05016-R_Mini_Display_to_HDMI_Cable_-_Space_Grey_Hero_1580618731_1587534361.jpg
ELK-05017-R;Bonelk Mini Display Port to HDMI Long Life Cable (Black) - 3 m;Bonelk;out of stock;0;31,08;64,99;9,35E+12;0;19,3;12,7;4,2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1587534366/uploads/624cebf8/products/1624/images/ELK-05017-R_ELK-05016-R_Mini_Display_to_HDMI_Cable_-_Space_Grey_Hero_copy_1580618772_1587534365.jpg
ELK-03010-R;Bonelk AUX 3.5 mm to 35 mm Cable, Long-Life Series 1 m (Black);Bonelk;in stock;2;9,56;19,99;9,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1587530912/uploads/624cebf8/products/1645/images/ELK-03010-R_Bonelk_Longlife_AUX_1m_Black_1587530911.jpg
